Nafn,ID,Starfsheiti,Sveitarfelag,Fornafn,Eftirnafn,Heimasimi,Vinnusimi,Farsimi,Notendanafn,Deild
Kristinn Bjorn Valdimarsson,5856,felagslidi,Seydisfirdi,Kristinn Bjorn,Valdimarsson,+354 555-7017,+354 567-9739,+354 867-8842,KriVal,Framleidsludeild
Kristin Erna Arnardottir,4789,verkefnastjori,Reykjavik,Kristin Erna,Arnardottir,+354 555-3069,+354 567-9545,+354 867-2074,KriArn,Framleidsludeild
Kristin Elfa Gudnadottir,6934,utgafustjori,Reykjavik,Kristin Elfa,Gudnadottir,+354 555-6107,+354 567-9408,+354 867-1190,KriGud,Framleidsludeild
Kristin Jonsdottir,9013,skrifstofustjori,Reykjavik,Kristin,Jonsdottir,+354 555-4582,+354 567-9324,+354 867-8784,KriJon,Framleidsludeild
Kristin Vala Ragnarsdottir,8507,svidsforseti i Hi,Reykjavik,Kristin Vala,Ragnarsdottir,+354 555-9508,+354 567-8953,+354 867-6022,KriRag,Framleidsludeild
Kristjan Ingvarsson,3095,verkfraedingur,Seltjarnarnesi,Kristjan,Ingvarsson,+354 555-1751,+354 567-9111,+354 867-1644,KriIng,Framleidsludeild
Kristjan Vigfusson,9684,kennari vid Haskolann i Reykjavik,Reykjavik,Kristjan,Vigfusson,+354 555-2670,+354 567-9447,+354 867-1290,KriVig,Framleidsludeild
Kristofer Mar Kristinsson,2941,kennari,Reykjavik,Kristofer Mar,Kristinsson,+354 555-3851,+354 567-8303,+354 867-2377,KriKri,Framleidsludeild
Lara oskarsdottir,6406,Dale Carnegie tjalfari,Reykjavik,Lara,oskarsdottir,+354 555-9159,+354 567-9622,+354 867-5716,Laraosk,Framleidsludeild
Larus Eliasson,3447,framkvaemdastjori,Reykjavik,Larus,Eliasson,+354 555-4125,+354 567-8661,+354 867-5502,LarEli,Framleidsludeild
Larus Jon Gudmundsson,8672,verkefnisstjori,Hafnarfirdi,Larus Jon,Gudmundsson,+354 555-2256,+354 567-8660,+354 867-2200,LarGud,Framleidsludeild
Larus ymir oskarsson,6395,leikstjori,Reykjavik,Larus ymir,oskarsson,+354 555-6300,+354 567-8451,+354 867-1021,Larosk,Framleidsludeild
Leo E. Love,3227,haestarettarlogmadur,Reykjavik,Leo E.,Love,+354 555-8134,+354 567-8929,+354 867-6521,LeoLov,Framleidsludeild
Loftur Mar Sigurdsson,6274,vidskiptastjori,Reykjavik,Loftur Mar,Sigurdsson,+354 555-4319,+354 567-8787,+354 867-1335,LofSig,Framleidsludeild
Lovisa Arnardottir,7308,radgjafi hja UNICEF island,Reykjavik,Lovisa,Arnardottir,+354 555-4091,+354 567-9300,+354 867-4414,LovArn,Framleidsludeild
Loa Steinunn Kristjansdottir,8628,framhaldsskolakennari,Reykjavik,Loa Steinunn,Kristjansdottir,+354 555-2201,+354 567-8455,+354 867-5661,LoaKri,Framleidsludeild
Ludvig arni Gudmundsson,5603,laeknir,Kopavogi,Ludvig arni,Gudmundsson,+354 555-7643,+354 567-9900,+354 867-5344,LudGud,Framleidsludeild
Ludvig Larusson,7451,salfraedingur,Reykjavik,Ludvig,Larusson,+354 555-6391,+354 567-9294,+354 867-6158,LudLar,Framleidsludeild
Ludvik Emil Kaaber,5823,logfraedingur,Kopavogi,Ludvik Emil,Kaaber,+354 555-9039,+354 567-8915,+354 867-5109,LudKaa,Framleidsludeild
Lydur arnason,3876,laeknir kvikmyndagerdarmadur,Hafnarfirdi,Lydur,arnason,+354 555-2497,+354 567-9457,+354 867-9895,Lydarn,Framleidsludeild
Magnea Johanna Mattiasdottir,7682,tydandi,Reykjavik,Magnea Johanna,Mattiasdottir,+354 555-1181,+354 567-8303,+354 867-4186,MagMat,Framleidsludeild
Magni Hjalmarsson,7935,utgefandi,Svf. alftanesi,Magni,Hjalmarsson,+354 555-4547,+354 567-8733,+354 867-1965,MagHja,Framleidsludeild
Magnus Vikingur Grimsson,4239,forstjori,Kopavogi,Magnus Vikingur,Grimsson,+354 555-2082,+354 567-9573,+354 867-4720,MagGri,Framleidsludeild
Magnus Magnusson,7209,oryrki kvikmyndagerdamadur,Kopavogi,Magnus,Magnusson,+354 555-9553,+354 567-9245,+354 867-1993,MagMag,Framleidsludeild
Magnus oskarsson,3887,bilasali,Akranesi,Magnus,oskarsson,+354 555-7450,+354 567-9887,+354 867-7698,MagIosk,Framleidsludeild
Magnus Ingi oskarsson,3359,stofnandi forstodumadur,Hafnarfirdi,Magnus Ingi,oskarsson,+354 555-9793,+354 567-8155,+354 867-3263,Magosk,Framleidsludeild
Magnus toroddsen,5405,fv. haestarettarlogmadur,Reykjavik,Magnus,toroddsen,+354 555-7319,+354 567-8991,+354 867-1716,Magto,Framleidsludeild
Margret Cela,2534,doktorsnemi i altjodasamskiptum vid haskolann i Lapplandi,Reykjavik,Margret,Cela,+354 555-1289,+354 567-8082,+354 867-1072,MarCel,Framleidsludeild
Margret Dora Ragnarsdottir,4426,tolvunarfraedingur,Reykjavik,Margret Dora,Ragnarsdottir,+354 555-2005,+354 567-9504,+354 867-3998,MarRag,Framleidsludeild
Margret Jensina torvaldsdottir,3315,adjunkt vid Haskolann a Akureyri leikskolakennari,Akureyri,Margret Jensina,torvaldsdottir,+354 555-5442,+354 567-9924,+354 867-5508,Martor,Framleidsludeild
Maria agustsdottir,4635,prestur,Reykjavik,Maria,agustsdottir,+354 555-4035,+354 567-8053,+354 867-1868,Maragu,Framleidsludeild
Marianna Bergsteinsdottir,3953,dyralaeknir,Blaskogabyggd,Marianna,Bergsteinsdottir,+354 555-3820,+354 567-9984,+354 867-9493,MarBer,Framleidsludeild
Marin Ros Tumadottir,3931,stjornmalafraedingur,Reykjavik,Marin Ros,Tumadottir,+354 555-2547,+354 567-8322,+354 867-3965,MarTum,Framleidsludeild
Mani Arnarson,5834,verkfraedingur,Reykjavik,Mani,Arnarson,+354 555-2791,+354 567-9130,+354 867-1896,ManArn,Framleidsludeild
Mar Wolfgang Mixa,4041,fjarmalafraedingur,Hafnarfirdi,Mar Wolfgang,Mixa,+354 555-9011,+354 567-9136,+354 867-7412,MarMix,Framleidsludeild
Michele Rebora,3898,stjornunarradgjafi,Mosfellsbae,Michele,Rebora,+354 555-3830,+354 567-8073,+354 867-8982,MicReb,Framleidsludeild
Mikael Marlies Karlsson,3194,professor,Reykjavik,Mikael Marlies,Karlsson,+354 555-2677,+354 567-9954,+354 867-4208,MikKar,Framleidsludeild
Nils Erik Gislason,8474,taeknimadur,Reykjanesbae,Nils Erik,Gislason,+354 555-7180,+354 567-9891,+354 867-8803,NilGis,Framleidsludeild
Nina Bjorg Saemundsdottir,9409,vidskiptafraedingur,Kopavogi,Nina Bjorg,Saemundsdottir,+354 555-3638,+354 567-9467,+354 867-7823,NinSaem,Framleidsludeild
Njall Ragnarsson,2952,stjornmalafraedingur,Vestmannaeyjum,Njall,Ragnarsson,+354 555-3300,+354 567-9331,+354 867-2774,NjaRag,Framleidsludeild
Oddur Magnus Sigurdsson,6472,meistaranemi i logfraedi,Reykjavik,Oddur Magnus,Sigurdsson,+354 555-8095,+354 567-8146,+354 867-6993,OddSig,Framleidsludeild
Otto Hordur Gudmundsson,6659,vaktstjori,Reykjavik,Otto Hordur,Gudmundsson,+354 555-7829,+354 567-9450,+354 867-8094,OttGud,Framleidsludeild
olafur arni Halldorsson,5273,grafiskur honnudur BFA,Reykjanesbae,olafur arni,Halldorsson,+354 555-5218,+354 567-8145,+354 867-7924,olaHal,Framleidsludeild
olafur Hannibalsson,2259,bladamadur,Reykjavik,olafur,Hannibalsson,+354 555-5446,+354 567-8424,+354 867-8640,olaHan,Framleidsludeild
olafur orn Haraldsson,7924,tjodgardsvordur tingvollum,Reykjavik,olafur orn,Haraldsson,+354 555-5478,+354 567-8900,+354 867-9077,olaHar,Framleidsludeild
olafur Jakobsson,4558,taeknifraedingur,Akureyri,olafur,Jakobsson,+354 555-7308,+354 567-9757,+354 867-4825,olaJak,Framleidsludeild
olafur Jonsson,6769,vidskiptafraedingur,Reykjavik,olafur,Jonsson,+354 555-2930,+354 567-8595,+354 867-3739,olaJon,Framleidsludeild
olafur Johann Proppe,6351,fv. rektor Kennarahaskola islands,Svf. alftanesi,olafur Johann,Proppe,+354 555-4975,+354 567-8604,+354 867-2769,olaPro,Framleidsludeild
olafur Sigurdsson,8848,fv. varafrettastjori,Reykjavik,olafur,Sigurdsson,+354 555-5494,+354 567-8131,+354 867-6575,olaSig,Framleidsludeild
olafur Gunnar Sigurdsson,3128,kultursociolog,Reykjavik,olafur Gunnar,Sigurdsson,+354 555-6061,+354 567-9123,+354 867-5014,olaGSig,Framleidsludeild
olafur Mar Vilhjalmsson,4745,verslunarmadur,Akureyri,olafur Mar,Vilhjalmsson,+354 555-5579,+354 567-9200,+354 867-3275,olaVil,Framleidsludeild
olafur Torfi Yngvason,6186,nemandi,Kongens Lyngby Danmorku,olafur Torfi,Yngvason,+354 555-9468,+354 567-9937,+354 867-5956,olaYng,Framleidsludeild
oli Mar Aronsson,3491,velfraedingur,Rangartingi ytra,oli Mar,Aronsson,+354 555-7734,+354 567-8138,+354 867-9559,oliAro,Framleidsludeild
oli Gneisti Soleyjarson,4283,tjodfraedingur,Reykjavik,oli Gneisti,Soleyjarson,+354 555-2779,+354 567-8195,+354 867-8785,oliSol,Framleidsludeild
olina Freysteinsdottir,9574,verkefnastjori RHA,Akureyri,olina,Freysteinsdottir,+354 555-7222,+354 567-9021,+354 867-7874,oliFre,Framleidsludeild
omar torfinnur Ragnarsson,9365,fjolmidlamadur,Reykjavik,omar torfinnur,Ragnarsson,+354 555-7206,+354 567-8828,+354 867-5600,omaRag,Framleidsludeild
oskar isfeld Sigurdsson,2402,deildarstjori matvaelaeftirlits Reykjavikurborgar,Reykjavik,oskar isfeld,Sigurdsson,+354 555-1357,+354 567-8039,+354 867-4934,oskSig,Framleidsludeild
Patricia Anna tormar,8947,laganemi,Reykjavik,Patricia Anna,tormar,+354 555-2126,+354 567-8080,+354 867-1768,Pattor,Framleidsludeild
Pawel Bartoszek,9563,staerdfraedingur,Reykjavik,Pawel,Bartoszek,+354 555-5178,+354 567-9279,+354 867-9318,PawBar,Framleidsludeild
Pall I. Blondal Sigurbjornsson,4371,verkefnastjori hugbunadarlausna,Mosfellsbae,Pall I.,Blondal Sigurbjornsson,+354 555-7350,+354 567-9410,+354 867-2174,PalBlo,Framleidsludeild
Pall Rafnar torsteinsson,8232,doktorsnemi,Kaupmannahofn Danmorku,Pall Rafnar,torsteinsson,+354 555-7655,+354 567-8744,+354 867-1368,PalRtor,Framleidsludeild
Palmar torsteinsson,8738,nemi,Reykjavik,Palmar,torsteinsson,+354 555-2725,+354 567-9600,+354 867-8352,Paltor,Framleidsludeild
Petur Gudjonsson,5812,stjornunarradgjafi,Reykjavik,Petur,Gudjonsson,+354 555-6101,+354 567-8461,+354 867-8989,PetGud,Framleidsludeild
Petur Georg Gudmundsson,7616,framkvaemdastjori,Gardabae,Petur Georg,Gudmundsson,+354 555-6952,+354 567-8743,+354 867-6137,PetGGud,Framleidsludeild
Petur Gunnlaugsson,2292,logmadur utvarpsmadur,Reykjavik,Petur,Gunnlaugsson,+354 555-6804,+354 567-8883,+354 867-8268,PetGun,Framleidsludeild
Petur oli Jonsson,9497,serfraedingur,Reykjavik,Petur oli,Jonsson,+354 555-9275,+354 567-9436,+354 867-4309,PetJon,Framleidsludeild
Petur Kristjansson,6714,tjodfraedingur,Seydisfirdi,Petur,Kristjansson,+354 555-4610,+354 567-9230,+354 867-4086,PetKri,Framleidsludeild
Petur Bjorgvin torsteinsson,7891,djakni i Glerarkirkju,Akureyri,Petur Bjorgvin,torsteinsson,+354 555-1420,+354 567-9057,+354 867-1560,Pettor,Framleidsludeild
Ragnar Jonsson,5053,tonlistarkennari,Reykjavik,Ragnar,Jonsson,+354 555-5126,+354 567-9647,+354 867-4577,RagJon,Framleidsludeild
Ragnar omarsson,2369,byggingarfraedingur,Reykjavik,Ragnar,omarsson,+354 555-1209,+354 567-9823,+354 867-2545,Ragoma,Framleidsludeild
Ragnheidur olafia Davidsdottir,2864,framkvaemdastjori Tjonavarna,Hafnarfirdi,Ragnheidur olafia,Davidsdottir,+354 555-6416,+354 567-9236,+354 867-2600,RagDav,Framleidsludeild
Ragnheidur Birna Fossdal,3524,liffraedingur,Seltjarnarnesi,Ragnheidur Birna,Fossdal,+354 555-1370,+354 567-9727,+354 867-1362,RagFos,Framleidsludeild
Ragnhildur Gunnlaugsdottir,8716,leikskolakennari,Svf. alftanesi,Ragnhildur,Gunnlaugsdottir,+354 555-4143,+354 567-9819,+354 867-8547,RagGun,Framleidsludeild
Ragnhildur Sigurdardottir,6692,umhverfisfraedingur lektor bondi,Snaefellsbae,Ragnhildur,Sigurdardottir,+354 555-1788,+354 567-8266,+354 867-4301,RagnSig,Framleidsludeild
Ragnhildur Sigurdardottir A,9893,tydandi,isafjardarbae,Ragnhildur,Sigurdardottir,+354 555-5442,+354 567-8672,+354 867-5133,RagSig,Framleidsludeild
Ragnhildur Vigfusdottir,8089,deildarstjori,Reykjavik,Ragnhildur,Vigfusdottir,+354 555-5148,+354 567-8212,+354 867-7372,RagVig,Framleidsludeild
Rakel Sigurgeirsdottir,3865,framhaldsskolakennari,Akureyri,Rakel,Sigurgeirsdottir,+354 555-2056,+354 567-8167,+354 867-6487,RakSig,Framleidsludeild
Rene Biasone,6516,serfraedingur doktorsnemi studningsfulltrui,Reykjavik,Rene,Biasone,+354 555-2875,+354 567-8160,+354 867-2572,RenBia,Framleidsludeild
Reynir Heidar Antonsson,4657,stjornmalafraedingur oryrki,Akureyri,Reynir Heidar,Antonsson,+354 555-3915,+354 567-9411,+354 867-2045,ReyAnt,Framleidsludeild
Reynir Gretarsson,7341,framkvaemdastjori,Reykjavik,Reynir,Gretarsson,+354 555-5197,+354 567-8996,+354 867-7658,ReyGre,Framleidsludeild
Reynir Vilhjalmsson,6329,framhaldsskolakennari edlisfraedingur,Reykjavik,Reynir,Vilhjalmsson,+354 555-6094,+354 567-8618,+354 867-5143,ReyVil,Framleidsludeild
Robert Hlynur Baldursson,7627,nemi i kennslufraedum til kennslurettinda,Nordurtingi,Robert Hlynur,Baldursson,+354 555-8851,+354 567-8439,+354 867-1684,RobBal,Framleidsludeild
Rosa Gudrun Erlingsdottir,8485,doktorsnemi,Kaupmannahofn Danmorku,Rosa Gudrun,Erlingsdottir,+354 555-9060,+354 567-8274,+354 867-9832,RosErl,Framleidsludeild
Runar tor Jonsson,5768,logfraedingur,Akureyri,Runar tor,Jonsson,+354 555-3469,+354 567-8688,+354 867-5364,RunJon,Framleidsludeild
Salvor Nordal,9024,forstodumadur Sidfraedistofnunar Hi,Reykjavik,Salvor,Nordal,+354 555-7684,+354 567-8003,+354 867-1597,SalNor,Framleidsludeild
Sara Bjorg Sigurdardottir,5735,stjornmala- og stjornsyslufraedingur,Reykjavik,Sara Bjorg,Sigurdardottir,+354 555-2993,+354 567-8181,+354 867-3130,SarSig,Framleidsludeild
Sif Jonsdottir,6076,vidskiptafraedingur MBA,Reykjavik,Sif,Jonsdottir,+354 555-9989,+354 567-8245,+354 867-8564,SifJon,Framleidsludeild
Sigfridur torsteinsdottir,6362,mottokustjori,Reykjavik,Sigfridur,torsteinsdottir,+354 555-2907,+354 567-9773,+354 867-3397,Sigtor,Framleidsludeild
Signy Sigurdardottir,7748,rekstrarfraedingur,Reykjavik,Signy,Sigurdardottir,+354 555-7661,+354 567-8849,+354 867-1573,SigSig,Framleidsludeild
Sigridur Dogg Audunsdottir,6153,forstodumadur kynningarmala,Mosfellsbae,Sigridur Dogg,Audunsdottir,+354 555-3634,+354 567-9627,+354 867-4572,SigAud,Framleidsludeild
Sigridur olafsdottir,3139,lifefnafraedingur radgjafi,Reykjavik,Sigridur,olafsdottir,+354 555-2810,+354 567-8307,+354 867-1434,Sigola,Framleidsludeild
Sigrun Kapitola Gudrunardottir,2688,haskolanemi stundakennari,Svf. Hornafirdi,Sigrun Kapitola,Gudrunardottir,+354 555-2281,+354 567-8156,+354 867-6430,SigGud,Framleidsludeild
Sigrun Vala Valgeirsdottir,7704,frumkvodull framkvaemdastyra,Reykjavik,Sigrun Vala,Valgeirsdottir,+354 555-9248,+354 567-8913,+354 867-7877,SigVal,Framleidsludeild
Sigurbjorn Svavarsson,4679,rekstrarfraedingur,Mosfellsbae,Sigurbjorn,Svavarsson,+354 555-6733,+354 567-8495,+354 867-6562,SigSva,Framleidsludeild
Sigurdur Adalsteinsson,5592,veidileidsogumadur,Fljotsdalsheradi,Sigurdur,Adalsteinsson,+354 555-8565,+354 567-8923,+354 867-8104,SigAda,Framleidsludeild
Sigurdur Ingi Einarsson,6241,veltaeknifraedingur,Reykjavik,Sigurdur Ingi,Einarsson,+354 555-2681,+354 567-8667,+354 867-6329,SigEin,Framleidsludeild
Sigurdur Gretar Gudmundsson,4976,pipulagningameistari,Svf. olfusi,Sigurdur Gretar,Gudmundsson,+354 555-3476,+354 567-9232,+354 867-6769,SigGGud,Framleidsludeild
Sigurdur Holm Gunnarsson,3436,forstodumadur,Reykjavik,Sigurdur Holm,Gunnarsson,+354 555-8724,+354 567-8744,+354 867-7217,SigGun,Framleidsludeild
Sigurdur orn Hjorleifsson,3084,rafvirkjameistari,Odense Danmorku,Sigurdur orn,Hjorleifsson,+354 555-9792,+354 567-8991,+354 867-5330,SigHjo,Framleidsludeild
Sigurdur Ragnarsson,4481,salfraedingur,Borgarbyggd,Sigurdur,Ragnarsson,+354 555-9709,+354 567-9193,+354 867-3758,SigRag,Framleidsludeild
Sigurdur Gudmundur Tomasson,6208,utvarpsmadur,Mosfellsbae,Sigurdur Gudmundur,Tomasson,+354 555-3912,+354 567-9643,+354 867-4413,SigTom,Framleidsludeild
Sigurjon arnason,8056,nemi i felagsradgjof,Reykjavik,Sigurjon,arnason,+354 555-5873,+354 567-8676,+354 867-5572,Sigarn,Framleidsludeild
Sigurjon Jonasson,4437,flugumferdarstjori,Kopavogi,Sigurjon,Jonasson,+354 555-7972,+354 567-8146,+354 867-2365,SigJon,Framleidsludeild
Sigurlaug Anna Johannsdottir,4932,verkefnastjori,Kopavogi,Sigurlaug Anna,Johannsdottir,+354 555-5651,+354 567-8690,+354 867-3812,SiglJoh,Framleidsludeild
Sigurlaug t. Ragnarsdottir,6054,listfraedingur,Mosfellsbae,Sigurlaug t.,Ragnarsdottir,+354 555-6654,+354 567-8951,+354 867-3424,SigtRag,Framleidsludeild
Sigursteinn Robert Masson,7858,sjalfstaett starfandi,Kopavogi,Sigursteinn Robert,Masson,+354 555-1288,+354 567-9589,+354 867-9062,SigMas,Framleidsludeild
Sigurvin Jonsson,9805,skemmtikraftur,Akureyri,Sigurvin,Jonsson,+354 555-8763,+354 567-8946,+354 867-9577,SigJons,Framleidsludeild
Sigvaldi Einarsson,5482,radgjafi,Kopavogi,Sigvaldi,Einarsson,+354 555-8483,+354 567-8859,+354 867-9833,SigvEin,Framleidsludeild
Sigvaldi Fridgeirsson,5141,eldri borgari,Mosfellsbae,Sigvaldi,Fridgeirsson,+354 555-8647,+354 567-9264,+354 867-2288,SigFri,Framleidsludeild
Sigvardur Ari Huldarsson,9189,framkvaemdastjori Taeknihlidarinnar taeknimadur,Reykjavik,Sigvardur Ari,Huldarsson,+354 555-5104,+354 567-8738,+354 867-1506,SigHul,Framleidsludeild
Sigtrudur torfinnsdottir,4261,logfraedingur oryrki,Reykjavik,Sigtrudur,torfinnsdottir,+354 555-6424,+354 567-9302,+354 867-6065,Sigttor,Framleidsludeild
Silja Ingolfsdottir,2963,svaedisfulltrui hja Rauda krossi islands,Reykjavik,Silja,Ingolfsdottir,+354 555-3074,+354 567-9860,+354 867-2686,SilIng,Framleidsludeild
Silja Bara omarsdottir,4987,altjodastjornmalafraedingur adjunkt vid Hi,Reykjavik,Silja Bara,omarsdottir,+354 555-9757,+354 567-9482,+354 867-2207,Siloma,Framleidsludeild
Sindri Gudmundsson,2083,nemi,Reykjavik,Sindri,Gudmundsson,+354 555-5805,+354 567-8532,+354 867-2446,SinGud,Framleidsludeild
Skafti Hardarson,7649,rekstrarstjori,Reykjavik,Skafti,Hardarson,+354 555-3982,+354 567-8298,+354 867-2506,SkaHar,Framleidsludeild
Skuli tor Sveinsson,3293,solumadur,Reykjavik,Skuli tor,Sveinsson,+354 555-8142,+354 567-8355,+354 867-1217,SkuSve,Framleidsludeild
Smari Pall McCarty,3568,forritari,Reykjavik,Smari Pall,McCarty,+354 555-8322,+354 567-9424,+354 867-3017,SmaMcC,Framleidsludeild
Soffia Sigurdardottir,9178,umsjonarmadur,Svf. arborg,Soffia,Sigurdardottir,+354 555-5588,+354 567-9815,+354 867-8761,SofSig,Framleidsludeild
Soffia S. Sigurgeirsdottir,9079,M.Sc. altjodasamskipti,Reykjavik,Soffia S.,Sigurgeirsdottir,+354 555-2749,+354 567-8701,+354 867-9496,SofSSig,Framleidsludeild
Solveig Gudmundsdottir,5174,sjalfstaett starfandi leikkona,Reykjavik,Solveig,Gudmundsdottir,+354 555-9258,+354 567-8402,+354 867-6310,SolGud,Framleidsludeild
Solveig Dagmar torisdottir,7462,menningarmidlari grafiskur honnudur okuleidsogumadur,Reykjavik,Solveig Dagmar,torisdottir,+354 555-5840,+354 567-9358,+354 867-8773,Soltor,Framleidsludeild
Stefan Gislason,2072,umhverfisstjornunarfraedingur,Borgarbyggd,Stefan,Gislason,+354 555-2212,+354 567-9224,+354 867-7430,SteGis,Framleidsludeild
Stefan Palsson,4954,sagnfraedingur,Reykjavik,Stefan,Palsson,+354 555-9986,+354 567-9063,+354 867-1542,StePal,Framleidsludeild
Steinar Immanuel Sorensson,7561,oryrki,Reykjanesbae,Steinar Immanuel,Sorensson,+354 555-7224,+354 567-8752,+354 867-4032,SteSor,Framleidsludeild
Steinberg torarinsson,5581,adstodarmadur idjutjalfa,Reykjavik,Steinberg,torarinsson,+354 555-1213,+354 567-8042,+354 867-2469,Stetor,Framleidsludeild
Steinn Karason,3282,umhverfishagfraedingur gardyrkjumeistari,Reykjavik,Steinn,Karason,+354 555-5888,+354 567-8928,+354 867-4794,SteKar,Framleidsludeild
Sturla Jonsson,7957,vorubilstjori,Reykjavik,Sturla,Jonsson,+354 555-7267,+354 567-9771,+354 867-3194,StuJon,Framleidsludeild
Sturla Mar Jonsson,9398,husgagna- og innanhussarkitekt,Seltjarnarnesi,Sturla Mar,Jonsson,+354 555-1160,+354 567-8024,+354 867-9304,StuMJon,Framleidsludeild
Svanur Sigurbjornsson,4096,laeknir,Mosfellsbae,Svanur,Sigurbjornsson,+354 555-1632,+354 567-9504,+354 867-2514,SvaSig,Framleidsludeild
Svavar Kjarrval Lutersson,5086,nemandi,Hafnarfirdi,Svavar Kjarrval,Lutersson,+354 555-9770,+354 567-9387,+354 867-6172,SvaLut,Framleidsludeild
Sveinbjorg Birna Sveinbjornsdottir,5724,logmadur gudfraedinemi,Reykjavik,Sveinbjorg Birna,Sveinbjornsdottir,+354 555-8734,+354 567-8069,+354 867-7357,SveSve,Framleidsludeild
Sveinbjorn Fjolnir Petursson,4723,atvinnuleitandi,Reykjavik,Sveinbjorn Fjolnir,Petursson,+354 555-2219,+354 567-9138,+354 867-4364,SvePet,Framleidsludeild
Sveinn Gudmundsson,3986,haestarettarlogmadur,Reykjavik,Sveinn,Gudmundsson,+354 555-4753,+354 567-9012,+354 867-4915,SveGud,Framleidsludeild
Sveinn Halldorsson,4206,husasmidameistari,Hafnarfirdi,Sveinn,Halldorsson,+354 555-8070,+354 567-8748,+354 867-3139,SveHal,Framleidsludeild
Sveinn agust Kristinsson,6021,sjomadur,Vestmannaeyjum,Sveinn agust,Kristinsson,+354 555-8311,+354 567-9485,+354 867-6888,SveKri,Framleidsludeild
Saemundur Kristinn Sigurdsson,2996,taeknistjori,Hveragerdi,Saemundur Kristinn,Sigurdsson,+354 555-5467,+354 567-8002,+354 867-4791,SaemSig,Framleidsludeild
Saeunn torsteinsdottir,4690,listakona husfreyja kennari,Mosfellsbae,Saeunn,torsteinsdottir,+354 555-6550,+354 567-8445,+354 867-4665,Saeutor,Framleidsludeild
Saevar Ari Finnbogason,6846,sveitarstjornarmadur nemi,Hvalfjardarsveit,Saevar Ari,Finnbogason,+354 555-7180,+354 567-8321,+354 867-6925,SaevFin,Framleidsludeild
teodor Skuli Halldorsson,8408,framkvaemdastjori,Reykjavik,teodor Skuli,Halldorsson,+354 555-5927,+354 567-9259,+354 867-3899,teHal,Framleidsludeild
Tinna Ingvarsdottir,8925,logfraedimenntadur myndlistarmadur,Akureyri,Tinna,Ingvarsdottir,+354 555-1245,+354 567-8920,+354 867-3683,TinIng,Framleidsludeild
Tjorvi Gudjonsson,2732,laganemi,Reykjavik,Tjorvi,Gudjonsson,+354 555-6931,+354 567-8739,+354 867-3560,TjoGud,Framleidsludeild
Tryggvi Gislason,6428,fv. skolameistari malfraedingur,Kopavogi,Tryggvi,Gislason,+354 555-7824,+354 567-9111,+354 867-7115,TryGis,Framleidsludeild
Tryggvi Helgason,7352,fv. flugmadur,Akureyri,Tryggvi,Helgason,+354 555-8200,+354 567-9227,+354 867-8357,TryHel,Framleidsludeild
Tryggvi Hjaltason,7638,nemi,Vestmannaeyjum,Tryggvi,Hjaltason,+354 555-7057,+354 567-8576,+354 867-9491,TryHja,Framleidsludeild
Tryggvi Magnus tordarson,7121,trounarstjori,Kopavogi,Tryggvi Magnus,tordarson,+354 555-3920,+354 567-8176,+354 867-9074,Trytor,Framleidsludeild
ulfur Einarsson,6967,radgjafi a neydarvistun Studla,Reykjavik,ulfur,Einarsson,+354 555-8989,+354 567-8040,+354 867-8352,ulfEin,Framleidsludeild
Vagn Kristjansson,2512,logreglumadur,Akureyri,Vagn,Kristjansson,+354 555-3859,+354 567-8669,+354 867-3795,VagKri,Framleidsludeild
Valdimar Hergils Johannesson,8276,bladamadur,Mosfellsbae,Valdimar Hergils,Johannesson,+354 555-5212,+354 567-9004,+354 867-3502,ValJoh,Framleidsludeild
Valdis Steinarrsdottir,2171,framkvaemdastjori oryggisvordur,Mosfellsbae,Valdis,Steinarrsdottir,+354 555-8713,+354 567-8478,+354 867-3791,ValSte,Framleidsludeild
Valgardur Gudjonsson,7264,kerfisfraedingur,Reykjavik,Valgardur,Gudjonsson,+354 555-7076,+354 567-9570,+354 867-3535,ValGud,Framleidsludeild
Valgerdur Palmadottir,2545,MA i hugmynadasogu studningsfulltrui a sambyli,Goteborg Svitjod,Valgerdur,Palmadottir,+354 555-3710,+354 567-8941,+354 867-7090,ValPal,Framleidsludeild
Vidar Helgi Gudjohnsen,5328,lyfjafraedingur,Reykjavik,Vidar Helgi,Gudjohnsen,+354 555-3733,+354 567-9902,+354 867-2004,VidGud,Framleidsludeild
Vigdis Erlendsdottir,3051,salfraedingur,Reykjavik,Vigdis,Erlendsdottir,+354 555-8751,+354 567-9332,+354 867-1353,VigErl,Framleidsludeild
Vigfus Andresson,5471,bondi grunnskolakennari,Rangartingi eystra,Vigfus,Andresson,+354 555-1658,+354 567-8936,+354 867-1595,VigAnd,Framleidsludeild
Vignir Bjarnason,6505,verkamadur,Stykkisholmi,Vignir,Bjarnason,+354 555-5484,+354 567-8694,+354 867-6185,VigBja,Framleidsludeild
Vignir Ari Steingrimsson,9772,atvinnulaus,Svf. Vogum,Vignir Ari,Steingrimsson,+354 555-4414,+354 567-8843,+354 867-4800,VigSte,Framleidsludeild
Viktor Orri Valgardsson,2831,stjornmalafraedinemi,Reykjavik,Viktor Orri,Valgardsson,+354 555-3498,+354 567-8386,+354 867-6535,VikVal,Framleidsludeild
